                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1124,                 1.4248,                 1.3367,                0.70229,                0.65779,                0.73031,                0.44834,                 1.3641,                 1.7828,                 1.6725,             0.00065278,             0.00065278,             0.00065278
                      1,                 1.2766,                  1.225,                 1.4297,                0.46511,                0.41493,                0.38312,                0.15691,                 2.1631,                 3.7845,                 2.4264,              0.0013129,              0.0013129,              0.0013129
                      2,                 1.3907,                 1.3232,                 1.5199,                0.41781,                0.51901,                0.41442,                0.17113,                 1.9153,                 7.2485,                  2.187,              0.0019664,              0.0019664,              0.0019664
                      3,                 1.3921,                 1.3247,                 1.5226,                0.34758,                0.40304,                0.24742,                0.11507,                 2.1932,                 3.2582,                 2.3105,              0.0019703,              0.0019703,              0.0019703
                      4,                 1.4476,                  1.355,                 1.5742,                0.55354,                0.51711,                0.53143,                0.27804,                 1.7831,                 1.7726,                 1.8942,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3915,                 1.2907,                 1.5248,                 0.5642,                0.51686,                0.53679,                0.26577,                 1.7189,                 2.2175,                  1.841,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.3559,                 1.2482,                 1.4994,                0.72289,                0.65962,                0.72782,                0.42428,                 1.4551,                 1.7032,                 1.6771,              0.0019505,              0.0019505,              0.0019505
                      7,                  1.317,                 1.2292,                 1.4778,                0.68245,                0.69458,                0.73686,                0.43025,                 1.4089,                  1.292,                  1.628,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.2778,                 1.1529,                 1.4441,                  0.711,                0.69691,                0.74482,                0.43335,                 1.4503,                  1.284,                 1.6497,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.2775,                 1.1309,                 1.4373,                0.64018,                 0.6597,                0.66948,                 0.3588,                 1.6877,                 1.6542,                 1.9234,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.2478,                 1.1071,                 1.4374,                0.68726,                0.71023,                0.75003,                0.45407,                 1.3379,                 1.3209,                 1.5517,              0.0019109,              0.0019109,              0.0019109
                     11,                  1.223,                  1.075,                 1.4218,                0.78059,                0.73049,                0.80512,                0.48518,                 1.3924,                 1.2668,                 1.5959,               0.001901,               0.001901,               0.001901
                     12,                 1.1901,                 1.0776,                 1.4021,                0.77471,                0.76236,                0.81866,                0.51734,                 1.2745,                 1.1019,                 1.5357,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.1658,                 1.0495,                 1.3922,                0.81941,                0.74335,                 0.8345,                0.52272,                 1.2753,                 1.0477,                 1.5162,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.1564,                 0.9871,                 1.3645,                0.81991,                  0.779,                0.86072,                0.54593,                 1.2727,                0.98768,                 1.5161,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.1278,                0.96053,                 1.3363,                 0.8426,                0.76806,                0.86528,                 0.5659,                 1.1937,                0.92661,                 1.4567,              0.0018614,              0.0018614,              0.0018614
                     16,                   1.13,                0.95614,                 1.3503,                0.83733,                0.84791,                0.89051,                0.56564,                 1.2103,                0.87056,                  1.447,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.1195,                0.95107,                 1.3451,                0.85817,                0.80038,                0.89049,                0.57577,                 1.1663,                0.87957,                 1.4337,              0.0018416,              0.0018416,              0.0018416
                     18,                  1.077,                0.92648,                  1.327,                0.83509,                0.82795,                0.87258,                0.55693,                 1.2961,                0.92581,                 1.5123,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.0786,                0.94078,                 1.3177,                0.88306,                0.80989,                0.89581,                0.59546,                 1.1335,                0.82725,                 1.4041,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.0187,                0.87952,                 1.2855,                0.85404,                0.79468,                0.88477,                0.57769,                 1.2157,                  0.883,                 1.4261,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.0304,                 0.8673,                 1.2902,                0.86442,                0.80228,                0.87452,                0.58724,                 1.1417,                0.93193,                 1.4373,               0.001802,               0.001802,               0.001802
