                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5264,                 2.9882,                 1.5892,                0.42118,                0.54772,                0.42552,                0.23337,                 1.3661,                 2.6893,                 1.5291,             0.00025435,             0.00025435,             0.00025435
                      1,                 1.4186,                 1.6962,                 1.4913,                0.69511,                0.35096,                0.36575,                0.20101,                 1.3543,                 2.2071,                 1.4815,             0.00050815,             0.00050815,             0.00050815
                      2,                 1.4099,                 1.5622,                 1.4394,                0.61191,                0.50021,                0.48024,                0.28463,                 1.3259,                  1.667,                 1.4528,             0.00075942,             0.00075942,             0.00075942
                      3,                 1.3624,                 1.4657,                 1.4009,                0.51062,                 0.5534,                 0.5494,                0.34529,                 1.2657,                 1.5587,                  1.369,             0.00075758,             0.00075758,             0.00075758
                      4,                 1.3289,                 1.4097,                 1.3861,                0.54801,                0.57946,                0.55972,                0.34273,                 1.2878,                 1.3877,                  1.434,             0.00075758,             0.00075758,             0.00075758
                      5,                 1.2872,                 1.3081,                 1.3456,                0.78769,                0.49963,                0.62685,                0.40481,                 1.2594,                 1.3634,                 1.3578,             0.00075377,             0.00075377,             0.00075377
                      6,                 1.2537,                 1.2434,                 1.3145,                0.64525,                0.57228,                0.58086,                0.35135,                 1.2113,                 1.2443,                 1.3143,             0.00074997,             0.00074997,             0.00074997
                      7,                 1.2466,                 1.2383,                 1.3123,                0.68205,                0.63464,                0.66215,                0.42027,                 1.1753,                 1.1604,                 1.2992,             0.00074616,             0.00074616,             0.00074616
                      8,                 1.2113,                 1.1659,                  1.292,                0.74022,                0.61836,                0.67298,                0.46002,                 1.1659,                 1.1313,                 1.2766,             0.00074235,             0.00074235,             0.00074235
                      9,                 1.1915,                 1.1307,                  1.278,                0.68264,                0.62031,                0.66885,                0.42426,                 1.1377,                 1.1168,                  1.259,             0.00073855,             0.00073855,             0.00073855
                     10,                 1.1651,                 1.0763,                  1.255,                0.73823,                0.61008,                 0.6843,                0.45054,                 1.1172,                 1.0704,                  1.258,             0.00073474,             0.00073474,             0.00073474
                     11,                 1.1403,                 1.0517,                 1.2341,                0.71308,                0.73063,                0.73245,                0.49629,                 1.0734,                 1.0037,                 1.2063,             0.00073093,             0.00073093,             0.00073093
                     12,                 1.1248,                 1.0249,                 1.2354,                0.69943,                0.67415,                0.71214,                0.50685,                 1.0738,                 1.0737,                 1.2205,             0.00072713,             0.00072713,             0.00072713
                     13,                 1.1235,                 1.0391,                 1.2336,                0.67683,                0.71839,                0.73146,                0.50998,                 1.0719,                0.96605,                 1.1924,             0.00072332,             0.00072332,             0.00072332
